SKU,Name,Description,Price,Category
P001,Stavební nůž,"Kvalitní stavební řezací nůž",199,Tools
P002,Elektrovrtačka,"Výkonná aku vrtačka 18V",3490,Tools
P003,Hřebíky 1kg,"Balení ocelových hřebíků 1kg",129,Hardware
P004,Silikon 300ml,"Tmel silikonový bílý",89,Materials
P005,Vodováha 60cm,"Precision vodováha s magnety",299,Tools
P006,Pilový list 5ks,"Sada pilových listů pro dřevo",149,Hardware
P007,Ochranné brýle,"Bezpečnostní brýle",89,Safety
P008,Rukavice pracovní,"Pracovní rukavice velikost L",129,Safety
P009,Šroubovák sada,"Sada 6 šroubováků",249,Tools
P010,Kladivo 500g,"Ocelové kladivo 500g",199,Tools
P011,Flexa bruska,"Úhlová bruska 125mm",2390,Tools
P012,Páska izolační,"Elektroizolační páska 10m",59,Materials
P013,Kotouč řezný,"120mm kotouč pro kov",129,Hardware
P014,Pracovní helma,"Bezpečnostní helma žlutá",199,Safety
P015,Stavební metr,"Skládací metr 2m",69,Tools
P016,Baterie 9V,"Alkalická baterie 9V",49,Electronics
P017,Zámek visací,"Visací zámek s klíči",219,Hardware
P018,Křída stavební,"Stavební křída 10ks",59,Materials
P019,Nářadí kufr,"Kufr se sadou nářadí 100ks",1299,Tools
P020,Delící klín,"Plastový stavební klín",79,Materials
P021,Úchytka kovová,"Kovová úchytka 50mm",39,Hardware
P022,Kolíky dřevěné,"Dřevěné kolíky 50ks",89,Hardware
P023,Lešení spojka,"Kovová spojka pro lešení",149,Hardware
P024,Pilka na dřevo,"Ruční pilka 550mm",179,Tools
P025,Klínový řemen,"Klínový řemen 10mm",129,Parts
